customer_id,signup_date,city,country,device_type,operating_system,referral_source,funnel_stage_reached, order_value ,discount_used,last_active_timestamp,session_duration_seconds
CUST-00268,27/05/2024,Chicago,United States,Mobile,Android,Affiliate,Viewed,,No,31/05/2024 18:23,404
CUST-01213,04/04/2024,Chicago,United States,Mobile,iOS,Facebook Ads,Purchased,418.06 ,No,05/04/2024 12:30,744
CUST-01060,23/02/2024,New York,United States,Mobile,Android,Facebook Ads,Added to Cart,,No,23/02/2024 05:52,826
CUST-01080,26/07/2024,Melbourne,Australia,Mobile,iOS,Referral,Checkout,,No,09/08/2024 18:48,77
CUST-01553,20/01/2024,Los Angeles,United States,Desktop,macOS,Facebook Ads,Viewed,,No,27/01/2024 11:49,965
CUST-00761,26/07/2024,Melbourne,Australia,Desktop,Windows,Affiliate,Added to Cart,,No,01/08/2024 02:27,1139
CUST-00169,13/02/2024,Los Angeles,United States,Mobile,iOS,Email Campaign,Added to Cart,,No,27/02/2024 03:02,505
CUST-00655,22/11/2024,Sydney,Australia,Mobile,iOS,Affiliate,Viewed,,No,02/12/2024 05:15,546
CUST-01462,24/05/2024,London,United Kingdom,Mobile,iOS,Facebook Ads,Viewed,,No,05/06/2024 04:03,842
CUST-00614,24/02/2024,Toronto,Canada,Desktop,Windows,Direct,Viewed,,No,25/02/2024 15:44,1796
CUST-01750,29/09/2024,Toronto,Canada,Desktop,Windows,Affiliate,Viewed,,No,15/10/2024 07:08,799
CUST-00100,15/12/2024,London,United Kingdom,Tablet,Android,Affiliate,Purchased,360.26 ,Yes,01/01/2025 08:38,754
CUST-00013,01/10/2024,Sydney,Australia,Mobile,iOS,Instagram Ads,Added to Cart,,No,20/10/2024 01:20,1727
CUST-01585,29/07/2024,Dublin,Ireland,Tablet,Android,Facebook Ads,Added to Cart,,No,09/08/2024 14:56,439
CUST-00017,06/09/2024,Toronto,Canada,Mobile,iOS,Email Campaign,Added to Cart,,No,22/06/2024 14:41,558
CUST-01051,02/02/2024,London,United Kingdom,Tablet,Android,Google Search,Viewed,,No,11/02/2024 06:06,571
CUST-00448,09/06/2024,New York,United States,Tablet,Android,Google Search,Viewed,,No,22/06/2024 19:31,1615
CUST-01673,30/03/2024,Sydney,Australia,Mobile,Android,Referral,Viewed,,No,18/04/2024 09:28,196
CUST-01103,08/12/2024,London,United Kingdom,Mobile,Android,Referral,Added to Cart,,No,16/08/2024 20:23,782
CUST-01352,04/11/2024,Leeds,United Kingdom,Desktop,macOS,Affiliate,Viewed,,No,15/11/2024 08:57,1614
CUST-01416,24/10/2024,London,United Kingdom,Tablet,iPadOS,Direct,Checkout,,No,03/11/2024 02:45,1209
CUST-00387,16/10/2024,Berlin,Germany,Mobile,Android,Email Campaign,Added to Cart,,No,17/10/2024 20:52,292
CUST-00490,19/12/2024,Chicago,United States,Mobile,iOS,Affiliate,Viewed,,No,31/12/2024 21:34,815
CUST-01571,05/01/2024,London,United Kingdom,Tablet,iPadOS,Instagram Ads,Viewed,,No,16/01/2024 05:38,392
CUST-00694,09/05/2024,New York,United States,Mobile,iOS,Instagram Ads,Viewed,,No,24/05/2024 18:18,1186
