customer_id,signup_date,location,device_os,referral_source,funnel_stage_reached,order_value,discount_used,last_active_timestamp,session_duration_seconds
CUST-00268,"May 27, 2024",Chicago;United States,Mobile-Android,Affiliate, Viewed,n/a,no,05/31/2024 06:23 PM,404
CUST-01213,2024-04-04,Chicago;United States,mobile-ios, Facebook Ads,purchased,£418.06,FALSE,2024-04-05 12:30:14,744
CUST-01060,23/02/2024,new york;United States,Mobile-Android,FACEBOOK ADS,ADDED TO CART,NULL,N,2024-02-23 05:52:43,826
CUST-01080,"Jul 26, 2024",Melbourne;Australia,Mobile-iOS,referral,Checkout,NULL,FALSE,2024-08-09T18:48:00,77
CUST-01553,2024-01-20,Los Angeles;United States,Desktop-macOS,Facebook Ads,Viewed,n/a,No,27/01/2024 11:49,965
CUST-00761,26/07/2024,Melbourne;Australia,Desktop-Windows,Affiliate,ADDED TO CART,n/a,No,08/01/2024 02:27 AM,1139
CUST-00169,13-Feb-2024,Los Angeles;United States,Mobile-iOS,Email Campaign,added to cart,NULL,no,2024-02-27 03:02:07,505
CUST-00655,22/11/2024,Sydney;Australia,Mobile-iOS,affiliate ,VIEWED,n/a,N,02/12/2024 05:15,546
CUST-01462,24-May-2024,LONDON;United Kingdom,Mobile-iOS,facebook ads,viewed,,No,2024-06-05T04:03:24,842
CUST-00614,24/02/2024,Toronto;Canada,desktop-windows,DIRECT,viewed,NULL,No,02/25/2024 03:44 PM,1796
CUST-01750,29/09/2024,toronto;Canada,desktop-windows,affiliate ,VIEWED,,FALSE,15/10/2024 07:08,799
CUST-00100,12/15/2024,LONDON;United Kingdom,Tablet-Android,Affiliate,purchased,USD 360.26,Yes,01/01/2025 08:38,754
CUST-00013,01/10/2024,Sydney;Australia,mobile-ios,instagram ads,Added to Cart,NULL,,2024-10-20 01:20:00,1727
CUST-01585,"Jul 29, 2024",Dublin;Ireland,Tablet-Android,FACEBOOK ADS,added to cart,,0,09/08/2024 14:56,439
CUST-00017,06/09/2024,toronto;Canada,mobile-ios,Email Campaign,Added to Cart,,0,2024-06-22 14:41:25,558
CUST-01051,"Feb 02, 2024",LONDON;United Kingdom,Tablet-Android,Google Search,Viewed,,,2024-02-11T06:06:49,571
CUST-00448,2024-06-09,new york;United States,Tablet-Android,Google Search, Viewed,N/A,FALSE,2024-06-22T19:31:49,1615
CUST-01673,30/03/2024,Sydney;Australia,MOBILE-ANDROID,Referral,VIEWED,,No,2024-04-18T09:28:39,196
CUST-01103,08/12/2024,london;United Kingdom,MOBILE-ANDROID,Referral,added to cart,N/A,false,08/16/2024 08:23 PM,782
CUST-01352,04/11/2024,Leeds;United Kingdom,Desktop-macOS,Affiliate, Viewed,NULL,false,2024-11-15T08:57:28,1614
CUST-01416,10/24/2024,LONDON;United Kingdom,Tablet-iPadOS,direct,Checkout,,,03/11/2024 02:45,1209
CUST-00387,10/16/2024,Berlin;Germany,Mobile-Android,Email  Campaign,ADDED TO CART,N/A,FALSE,17/10/2024 20:52,292
CUST-00490,12/19/2024,Chicago;United States,Mobile-iOS,affiliate ,viewed,N/A,no,2024-12-31T21:34:24,815
CUST-01571,05-Jan-2024,LONDON;United Kingdom,Tablet-iPadOS,Instagram Ads,Viewed,NULL,false,01/16/2024 05:38 AM,392
CUST-00694,2024-05-09,new york;United States,Mobile-iOS,instagram ads, Viewed,,false,05/24/2024 06:18 PM,1186
CUST-00633,2024-03-15,Birmingham;United Kingdom,mobile-ios,Instagram Ads,added to cart,NULL,0,03/22/2024 03:09 AM,1024
CUST-00257,"Mar 26, 2024",LONDON;United Kingdom,MOBILE-ANDROID,Direct,Purchased ,USD 374.53,1,2024-04-14 17:28:34,1555
CUST-00156,29/03/2024,Berlin;Germany,Desktop-Windows,Google Search,Added to Cart,n/a,N,09/04/2024 04:12,1165
CUST-01216,26-Dec-2024,Sydney;Australia,Tablet-Android,Email Campaign,viewed,n/a,0,01/01/2025 12:05 AM,1734
CUST-00588,03/13/2024,toronto;Canada,Mobile-Android,Email Campaign, Viewed,NULL,FALSE,03/17/2024 03:31 PM,892
CUST-00813,06/21/2024,Melbourne;Australia,Mobile-Android,email campaign,viewed,,false,2024-07-03 06:28:22,977
CUST-00125,2024-10-04,Berlin;Germany,Mobile-iOS,Email Campaign,Added to cart ,n/a,0,2024-10-13T15:11:37,1370
CUST-01370,2024-07-18,Manchester;United Kingdom,Desktop-macOS,Affiliate,purchased,£363.15,Y,2024-07-20T22:47:00,1650
CUST-00797,04/03/2024,Birmingham;United Kingdom,Desktop-Windows,Direct,CHECKOUT,,,2024-04-06T08:32:57,192
CUST-01709,13-Sep-2024,Melbourne;Australia,Mobile-iOS, Facebook Ads,Added to cart ,NULL,FALSE,2024-10-01T04:37:50,
 CUST-00839,"Nov 29, 2024",Leeds;United Kingdom,mobile-ios, Facebook Ads,added to cart,N/A,,12/11/2024 09:38 PM,1229
CUST-01261,30/03/2024,Sydney;Australia,Mobile-Android,Email  Campaign,CHECKOUT,,0,2024-04-14T23:18:00,1683
CUST-00220,11/04/2024,new york;United States,Tablet-Android,Google  Search,Purchased , $411.01 ,Y,2024-04-12 04:10:23,1385
CUST-01106,"Jan 21, 2024",london;United Kingdom,Desktop-macOS,Instagram Ads,Added to cart ,n/a,No,22/01/2024 06:24,801
CUST-00880,11/08/2024,New York;United States,desktop-windows,Email Campaign,Checkout,N/A,no,2024-08-23T02:08:25,498
CUST-00931,07-Feb-2024,Melbourne;Australia,mobile-ios,Instagram Ads,viewed,n/a,N,02/07/2024 09:44 PM,-76
CUST-00315,05-May-2024,toronto;Canada,Mobile-iOS,Affiliate,Added to Cart,N/A,no,2024-05-15T03:53:07,600
CUST-01452,07/20/2024,New York;United States,Desktop-macOS,Google  Search, Viewed,N/A,,08/03/2024 03:48 AM,429
CUST-00570,"Mar 16, 2024",Berlin;Germany,Mobile-Android, Facebook Ads,VIEWED,N/A,N,23/03/2024 11:13,668
CUST-01780,03/30/2024,Toronto;Canada,Tablet-iPadOS,DIRECT, Viewed,N/A,FALSE,04/17/2024 03:39 PM,661
CUST-01738,"Sep 26, 2024",Melbourne;Australia,Desktop-macOS,FACEBOOK ADS,VIEWED,NULL,N,2024-09-28T13:45:15,734
CUST-01578,09/02/2024,toronto;Canada,Desktop-macOS,Direct,Added to cart ,,No,10/09/2024 01:59,-36
CUST-00721,21/07/2024,Manchester;United Kingdom,Desktop-Windows,google search, Viewed,NULL,no,06/08/2024 07:56,669
CUST-01069,29-Sep-2024,Toronto;Canada,Mobile-Android,Referral,viewed,NULL,false,2024-10-16 00:39:19,-88
cust-00591,"Aug 18, 2024",Manchester;United Kingdom,Mobile-iOS,Google  Search,viewed,NULL,false,29/08/2024 19:34,444
CUST-00645,2024-04-26,London;United Kingdom,MOBILE-ANDROID,Affiliate, Viewed,,FALSE,2024-05-06 06:46:50,271
CUST-00083,2024-11-27,Chicago;United States,Mobile-Android,Affiliate,VIEWED,n/a,false,15/12/2024 16:11,304
CUST-00738,2024-04-03,Chicago;United States,Tablet-Android,Referral,CHECKOUT,,,04/13/2024 03:45 AM,389
CUST-00455,07/09/2024,Los Angeles;United States,Desktop-Windows,Referral, Checkout ,,no,07/28/2024 10:06 AM,1016
CUST-00532,2024-08-15,Manchester;United Kingdom,Mobile-Android,FACEBOOK ADS,added to cart,,FALSE,2024-08-27T18:22:25,1641
CUST-00515,08/01/2024,Sydney;Australia,mobile-ios,google search,added to cart,NULL,No,2024-08-12 16:49:49,395
CUST-00849,23-Sep-2024,London;United Kingdom,Desktop-Windows,Affiliate,viewed,N/A,false,10/08/2024 06:46 AM,1728
CUST-00150,12-Oct-2024,New York;United States,Tablet-iPadOS,Email  Campaign,added to cart,n/a,N,2024-10-23 04:08:09,190
CUST-00712,2024-09-29,manchester;United Kingdom,Mobile-iOS,email campaign,VIEWED,N/A,FALSE,2024-10-16T21:57:42,96
CUST-01275,12-Dec-2024,London;United Kingdom,Tablet-iPadOS,Google Search,Viewed,N/A,0,2024-12-15T01:09:08,
CUST-01628,"Mar 26, 2024",Dublin;Ireland,Desktop-macOS,email campaign,Viewed,n/a,false,2024-04-14 01:19:48,1149
CUST-00860,"Oct 12, 2024",LONDON;United Kingdom,mobile-ios,affiliate ,added to cart,N/A,No,18/10/2024 18:34,776
CUST-00001,20/05/2024,manchester;United Kingdom,Mobile-Android,Affiliate,purchased,USD 116.21,Yes,2024-06-04T14:54:58,1672
CUST-00241,"Jan 21, 2024",Manchester;United Kingdom,desktop-windows,instagram ads,CHECKOUT,NULL,0,01/22/2024 09:41 AM,1067
CUST-00196,07-Apr-2024,Dublin;Ireland,Desktop-Windows,Email Campaign,Purchased ,81.81,Y,2024-04-13T20:54:05,
CUST-00800,11/17/2024,Melbourne;Australia,Mobile-iOS,DIRECT,purchased,77.36,true,2024-11-18T16:04:32,
CUST-01007,14/05/2024,Leeds;United Kingdom,Tablet-Android,DIRECT,Added to cart ,NULL,FALSE,2024-05-29 18:49:24,385
CUST-01139,30-Jun-2024,New York;United States,Tablet-Android,Affiliate,viewed,,,2024-07-11T11:28:36,1108
CUST-01075,"Oct 12, 2024",Manchester;United Kingdom,Mobile-iOS,Affiliate,Purchased,£140.61,no,11/01/2024 12:30 PM,189
CUST-01276,11/11/2024,manchester;United Kingdom,MOBILE-ANDROID,affiliate , Viewed,n/a,0,2024-11-22 04:06:41,1730
CUST-00075,2024-06-25,Los Angeles;United States,Tablet-iPadOS,referral,Viewed,N/A,0,2024-07-08 09:39:09,-39
CUST-01487,13-Nov-2024,Los Angeles;United States,Desktop-macOS,google search,Viewed,n/a,false,24/11/2024 23:18,587
CUST-00973,25/03/2024,London;United Kingdom,Mobile-iOS,referral,Checkout,,N,2024-04-12T11:25:07,1383
CUST-00990,"Nov 08, 2024",toronto;Canada,Tablet-Android,Google Search, Viewed,NULL,false,26/11/2024 19:22,1072
CUST-00119,"Oct 05, 2024",manchester;United Kingdom,Tablet-Android,DIRECT,ADDED TO CART,N/A,false,10/15/2024 01:05 PM,
CUST-01470,04-Oct-2024,new york;United States,Tablet-Android,referral,VIEWED,NULL,0,10/17/2024 06:44 PM,1239
CUST-00695,"Aug 29, 2024",Berlin;Germany,mobile-ios,Referral,Viewed,,no,30/08/2024 12:07,1757
CUST-01171,11/18/2024,Paris;France,Mobile-Android,google search,ADDED TO CART,NULL,0,12/04/2024 09:24 AM,1499
CUST-01583,06/20/2024,Paris;France,Mobile-Android,Affiliate,Viewed,,0,2024-06-22T06:12:03,1764
CUST-00642,05/08/2024,LONDON;United Kingdom,mobile-ios,Email Campaign,ADDED TO CART,NULL,FALSE,2024-05-09 19:12:53,553
CUST-00252,04/15/2024,toronto;Canada,Tablet-iPadOS,DIRECT,Viewed,n/a,N,04/30/2024 06:51 PM,1129
CUST-01116,2024-03-07,Sydney;Australia,Desktop-macOS,facebook ads,Purchased,USD 164.83,1,2024-03-17T11:19:33,211
CUST-01409,2024-05-18,New York;United States,Mobile-Android,Email  Campaign,viewed,n/a,FALSE,2024-05-24 04:21:25,329
CUST-01754,"Sep 14, 2024",London;United Kingdom,Desktop-Windows,facebook ads, Viewed,NULL,N,2024-09-20T20:08:57,420
CUST-00668,"May 27, 2024",Melbourne;Australia,MOBILE-ANDROID,google search,Added to Cart,N/A,false,02/06/2024 07:58,1056
CUST-00381,13-Jan-2024,New York;United States,Tablet-iPadOS,Email  Campaign,checkout,n/a,No,2024-01-14 01:37:22,1390
CUST-00863,"Apr 25, 2024",london;United Kingdom,desktop-windows,facebook ads, Viewed,,No,05/09/2024 04:33 PM,1790
 CUST-00450,10/03/2024,New York;United States,Desktop-Windows,direct,Viewed,,,10/11/2024 07:34 PM,112
CUST-01219,17-Jun-2024,Los Angeles;United States,Desktop-Windows,email campaign,VIEWED,N/A,0,28/06/2024 11:08,1086
CUST-00035,2024-06-28,london;United Kingdom,Mobile-iOS,Instagram Ads,purchased,$221.00,No,07/08/2024 06:09 AM,1258
CUST-00781,25-Dec-2024,New York;United States,Tablet-iPadOS,instagram ads,Viewed,NULL,FALSE,2025-01-04T07:28:56,365
CUST-01244,06-Dec-2024,new york;United States,Desktop-Windows,DIRECT, Viewed,N/A,0,2024-12-19 03:37:10,1328
CUST-01644,"Mar 03, 2024",london;United Kingdom,Desktop-macOS,Instagram Ads,PURCHASED, $398.98 ,false,03/04/2024 01:27 PM,1510
CUST-00994,2024-03-25,Chicago;United States,mobile-ios,Affiliate, Viewed,N/A,no,02/04/2024 16:29,1221
CUST-01303,01/17/2024,Dublin;Ireland,Mobile-iOS,affiliate ,ADDED TO CART,N/A,No,21/01/2024 19:10,-22
CUST-01270,2024-01-23,Birmingham;United Kingdom,Desktop-macOS,Email Campaign,Added to Cart,N/A,No,2024-02-10 15:37:01,651
CUST-01334,20/10/2024,Los Angeles;United States,mobile-ios,referral, Viewed,NULL,N,11/05/2024 10:05 AM,1752
cust-01266,30-Jul-2024,Los Angeles;United States,Tablet-Android,affiliate ,purchased,151.25,no,07/31/2024 06:57 AM,1558
CUST-00052,"Oct 05, 2024",Chicago;United States,MOBILE-ANDROID,Instagram Ads,viewed,NULL,N,2024-10-12T07:44:01,805
CUST-00595,14/07/2024,Berlin;Germany,Mobile-Android,Email  Campaign, Viewed,NULL,,2024-07-27T22:10:07,-48
CUST-00969,06/15/2024,New York;United States,Tablet-Android,Google Search,Viewed,n/a,,06/15/2024 10:55 PM,256
CUST-01576,2024-09-01,Birmingham;United Kingdom,mobile-ios,Google  Search,VIEWED,NULL,N,09/07/2024 08:25 PM,375
CUST-01630,09/29/2024,toronto;Canada,MOBILE-ANDROID,instagram ads,added to cart,n/a,No,10/01/2024 06:22 AM,510
CUST-01119,2024-07-20,toronto;Canada,MOBILE-ANDROID,Direct,Viewed,NULL,no,2024-07-28 09:45:59,1577
CUST-00272,02/21/2024,new york;United States,mobile-ios,Affiliate,CHECKOUT,n/a,No,2024-03-03T02:50:55,777
CUST-01393,"Jan 28, 2024",new york;United States,Mobile-iOS,direct,added to cart,NULL,0,06/02/2024 03:48,1739
CUST-01020,25/07/2024,Birmingham;United Kingdom,Mobile-iOS, Facebook Ads,Viewed,NULL,No,08/09/2024 01:48 PM,1571
CUST-01686,09-May-2024,Leeds;United Kingdom,Desktop-macOS, Facebook Ads,Purchased,$409.70,TRUE,14/05/2024 18:44,1066
CUST-01208,03/21/2024,Dublin;Ireland,Tablet-Android,Instagram Ads,VIEWED,n/a,FALSE,28/03/2024 13:29,363
cust-00264,12/02/2024,Leeds;United Kingdom,Mobile-iOS,referral,Purchased,$171.49,N,2024-12-08T15:51:55,1215
